year,ap,arp,ass,bih,chh,goa,guj,har,hp,jk,jha,kar,ker,mp,mh,man,meg,miz,nag,odi,pun,raj,sik,tam,tel,tri,utt,utk,wb,an,chan,dn,dd,delhi,lak,pud
2001,871,33,817,888,959,12,286,398,124,169,567,293,562,2851,1302,20,26,52,17,790,298,1049,8,423,0,102,1958,74,709,3,18,6,0,381,0,9
2002,1002,38,970,1040,992,12,267,361,137,192,797,292,499,2891,1352,14,38,76,17,691,299,1051,6,534,0,108,1415,89,759,2,18,4,0,403,1,6
2003,946,31,1095,985,898,31,236,353,126,211,712,321,394,2738,1268,18,40,54,14,725,380,1050,10,557,0,114,911,107,1002,2,18,1,5,490,2,2
2004,1016,42,1171,1390,969,37,339,386,153,218,797,291,480,2875,1388,31,54,20,18,770,390,1038,3,618,0,160,1397,115,1475,10,19,7,1,551,0,4
2005,935,35,1238,1147,990,20,324,461,141,201,753,343,478,2921,1545,25,63,37,17,799,398,993,18,571,0,162,1217,133,1686,4,33,5,2,658,0,6
2006,1049,37,1244,1232,995,21,354,608,113,250,799,400,601,2900,1500,40,74,72,23,985,442,1085,20,457,0,189,1314,147,1731,6,19,6,3,623,0,9
2007,1070,48,1437,1555,982,20,316,488,159,288,855,436,512,3010,1451,20,82,83,13,939,519,1238,24,523,0,157,1648,117,2106,3,22,7,1,598,1,9
2008,1257,42,1438,1302,978,30,374,631,157,219,791,446,568,2937,1558,38,88,77,19,1113,517,1355,20,573,0,204,1871,87,2263,12,20,6,0,466,2,8
2009,1188,59,1631,929,976,47,433,603,183,237,719,509,568,2998,1483,31,112,83,22,1023,511,1519,18,596,0,190,1759,111,2336,18,29,4,1,469,1,1
2010,1362,47,1721,795,1012,36,408,720,160,245,773,586,634,3135,1599,34,149,92,16,1025,546,1571,18,686,0,238,1563,121,2311,24,31,3,1,507,0,3
2011,1442,42,1700,934,1053,29,439,733,168,277,784,636,1132,3406,1701,53,130,77,23,1112,479,1800,16,677,0,205,2042,129,2363,13,27,4,1,572,0,7
2012,1341,46,1716,927,1034,55,473,668,183,303,812,621,1019,3425,1839,63,164,103,21,1458,680,2049,34,737,0,229,1963,148,2046,12,27,3,5,706,0,13
2013,1635,75,1937,1128,1380,86,732,971,250,378,1204,1030,1221,4335,3063,72,183,89,31,1832,888,3285,43,923,0,233,3050,228,1685,27,45,5,8,1636,2,17
2014,961,83,1980,1127,1436,95,841,1174,283,331,1050,1324,1347,5076,3438,75,118,120,30,1978,981,3759,47,455,979,239,3467,270,1466,32,59,5,2,2096,1,10
2015,1027,71,1733,1041,1560,86,503,1070,244,296,1053,589,1256,4391,4144,46,93,58,35,2251,886,3644,5,421,1105,213,3025,283,1199,36,72,8,5,2199,0,3
2016,980,90,1748,1000,1573,61,970,998,254,255,1033,1650,1642,4682,4120,55,190,20,25,1900,810,3291,98,317,1263,203,4129,334,980,30,66,14,11,2079,5,5
